,dynamic prices,tariff,Abrechnung_Stufen,Abrechnung_Dynamic
2023-06-12 13:00:00,25.392339000000003,25.66,0.0,0.0
2023-06-12 14:00:00,26.859252,25.66,0.0,0.0
2023-06-12 15:00:00,27.966309000000003,29.83,0.020880999999913184,0.01957641629991861
2023-06-12 16:00:00,29.563170000000003,29.83,0.0,0.0
2023-06-12 17:00:00,31.072566000000005,29.83,0.02684700000004341,0.02796530940004522
2023-06-12 18:00:00,33.991398000000004,34.56,0.10886400000017603,0.10707290370017314
2023-06-12 19:00:00,35.2221555,34.56,0.11059199999989944,0.1127108975998975
2023-06-12 20:00:00,31.978453500000004,29.83,0.0590634000000955,0.06331733793010239
2023-06-12 21:00:00,30.7377,29.83,0.07815459999991535,0.08053277399991277
2023-06-12 22:00:00,29.625645,29.83,0.0662225999999262,0.0657689318999267
2023-06-12 23:00:00,28.502344500000003,29.83,0.0674158000001693,0.06441529857016176
2023-06-13 00:00:00,27.711411000000005,25.66,0.06184059999999627,0.06678450050999599
2023-06-13 01:00:00,27.775135500000008,29.83,0.05757189999979164,0.053606011514806005
2023-06-13 02:00:00,27.707662500000005,25.66,0.05285960000003361,0.057077784750036296
2023-06-13 03:00:00,27.960061500000005,29.83,0.00507109999994791,0.0047532104549511765
2023-06-13 04:00:00,28.618548000000008,29.83,0.0238640000002496,0.022894838400239467
2023-06-13 05:00:00,31.754793000000003,29.83,0.0,0.0
2023-06-13 06:00:00,32.303323500000005,34.56,0.0,0.0
2023-06-13 07:00:00,32.36704800000001,34.56,0.0,0.0
2023-06-13 08:00:00,30.252894000000005,29.83,0.0,0.0
2023-06-13 09:00:00,27.998796,29.83,0.0,0.0
2023-06-13 10:00:00,27.022936500000007,25.66,0.0,0.0
2023-06-13 11:00:00,24.380244000000005,25.66,0.0,0.0
2023-06-13 12:00:00,23.64054,25.66,0.0,0.0
2023-06-13 13:00:00,23.428125,25.66,0.0,0.0
2023-06-13 14:00:00,25.248646500000003,25.66,0.0,0.0
2023-06-13 15:00:00,26.536881000000005,25.66,0.0,0.0
2023-06-13 16:00:00,27.942568500000004,29.83,0.0,0.0
2023-06-13 17:00:00,30.035481,29.83,0.08650699999998915,0.08710289489998907
2023-06-13 18:00:00,31.3612005,29.83,0.1840510999997851,0.1934986070847741
2023-06-13 19:00:00,32.372046000000005,34.56,0.1482624000000302,0.1388760773400283
2023-06-13 20:00:00,31.737300000000005,29.83,0.1139506000001541,0.12123648600016397
2023-06-13 21:00:00,30.487800000000004,29.83,0.09694749999994574,0.09908534999994455
2023-06-13 22:00:00,29.66063100000001,29.83,0.05846679999997395,0.05813483675997413
2023-06-13 23:00:00,29.398236000000004,29.83,0.06681920000004775,0.06585204864004707
2023-06-14 00:00:00,28.448616000000005,29.83,0.05876510000003472,0.05604377352003313
2023-06-14 01:00:00,28.236201000000005,29.83,0.0548871999997873,0.051954609839798674
2023-06-14 02:00:00,28.144987500000003,29.83,0.08531380000001736,0.0804946642500164
2023-06-14 03:00:00,28.397386500000003,29.83,0.01491500000005426,0.014198693250051658
2023-06-14 04:00:00,29.630643000000006,29.83,0.0,0.0
2023-06-14 05:00:00,33.227953500000005,34.56,0.0,0.0
2023-06-14 06:00:00,34.3874895,34.56,0.1074816000002087,0.10694509234520767
2023-06-14 07:00:00,33.361650000000004,34.56,0.0,0.0
2023-06-14 08:00:00,30.277884000000004,29.83,0.0,0.0
2023-06-14 09:00:00,28.32116700000001,29.83,0.0,0.0
2023-06-14 10:00:00,27.165379500000004,25.66,0.0,0.0
2023-06-14 11:00:00,26.630593500000003,25.66,0.0,0.0
2023-06-14 12:00:00,26.770537500000007,25.66,0.0,0.0
2023-06-14 13:00:00,27.105403500000005,25.66,0.0,0.0
2023-06-14 14:00:00,27.171627000000004,25.66,0.0,0.0
2023-06-14 15:00:00,27.803874000000008,29.83,0.0,0.0
2023-06-14 16:00:00,29.683122000000008,29.83,0.0,0.0
2023-06-14 17:00:00,31.708561500000005,29.83,0.025653799999800324,0.02726936288978775
2023-06-14 18:00:00,35.1196965,34.56,0.08225280000009808,0.08358487767009967
2023-06-14 19:00:00,36.382941,34.56,0.07257600000001257,0.07640417610001325
2023-06-14 20:00:00,34.849804500000005,34.56,0.09676799999991201,0.09757945259991127
2023-06-14 21:00:00,32.33331150000001,34.56,0.0743040000000503,0.06951661972504707
2023-06-14 22:00:00,30.9713565,29.83,0.06115149999997829,0.06349128082497747
2023-06-14 23:00:00,30.752694000000005,29.83,0.0674158000001693,0.06950108844017454
2023-06-15 00:00:00,30.2091615,29.83,0.05339569999975474,0.05407439908475163
2023-06-15 01:00:00,29.940519,29.83,0.06860900000014107,0.06886319370014159
2023-06-15 02:00:00,29.91053100000001,29.83,0.03281299999990233,0.03290158409990208
2023-06-15 03:00:00,29.90928150000001,29.83,0.0,0.0
2023-06-15 04:00:00,31.607352,29.83,0.011931999999989147,0.012642940799988501
2023-06-15 05:00:00,37.84985400000001,34.56,0.003456000000075438,0.0037849854000826188
2023-06-15 06:00:00,38.122245,34.56,0.0,0.0
2023-06-15 07:00:00,34.86979650000001,34.56,0.0,0.0
2023-06-15 08:00:00,31.86225,29.83,0.0,0.0
2023-06-15 09:00:00,30.320367000000005,29.83,0.06264300000001086,0.06367277070001104
2023-06-15 10:00:00,29.615649000000005,29.83,0.0,0.0
2023-06-15 11:00:00,28.893438000000003,29.83,0.0,0.0
2023-06-15 12:00:00,28.613550000000004,29.83,0.0,0.0
2023-06-15 13:00:00,28.613550000000004,29.83,0.0,0.0
2023-06-15 14:00:00,28.864699500000004,29.83,0.0,0.0
2023-06-15 15:00:00,29.456962500000007,29.83,0.0,0.0
2023-06-15 16:00:00,30.475305,29.83,0.011037100000078135,0.011275862850079825
2023-06-15 17:00:00,33.03553050000001,34.56,0.13478399999979884,0.12883856894980775
2023-06-15 18:00:00,36.900234000000005,34.56,0.13582080000001007,0.14501791962001076
2023-06-15 19:00:00,39.769086,34.56,0.1175040000000503,0.13521489240005788
2023-06-15 20:00:00,38.926923,34.56,0.12337919999998995,0.1389691151099887
2023-06-15 21:00:00,36.105552,34.56,0.08052480000006035,0.08412593616006304
2023-06-15 22:00:00,32.989299,34.56,0.07948800000016346,0.07587538770015603
2023-06-15 23:00:00,33.131742,34.56,0.07845119999995223,0.0752090543399542
